what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1359173758833
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1359173758834
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1359173758834
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1359173758835
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1359173758836
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1359173758836
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1359173758837
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1359173758838
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1359173758838
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1359173758839
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1359173758840
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1359173758840
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1359173758841
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1359173758841
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1359173758842
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1359173758842
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1359173758843
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1359173758843
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1359173758844
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1359173758844
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1359173758845
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1359173758845
started,bundle,org.eclipse.dltk.core,2.0.1.v20100806-1245,"org.eclipse.dltk.core",1359173758846
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100806-1245,"org.eclipse.dltk.launching",1359173758846
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1359173758847
os,sysinfo,,,"macosx",1359173758850
arch,sysinfo,,,"x86_64",1359173758850
ws,sysinfo,,,"cocoa",1359173758850
locale,sysinfo,,,"en_US",1359173758850
processors,sysinfo,,,"4",1359173758850
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1359173758850
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1359173758850
java.specification.name,sysinfo,,,"Java Platform API Specification",1359173758850
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359173758850
java.specification.version,sysinfo,,,"1.6",1359173758850
java.vendor,sysinfo,,,"Apple Inc.",1359173758850
java.version,sysinfo,,,"1.6.0_37",1359173758850
java.vm.info,sysinfo,,,"mixed mode",1359173758850
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1359173758850
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1359173758850
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1359173758850
java.vm.specification.version,sysinfo,,,"1.0",1359173758850
java.vm.vendor,sysinfo,,,"Apple Inc.",1359173758850
java.vm.version,sysinfo,,,"20.12-b01-434",1359173758851
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1359173761531
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1359173762936
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1359173762981
started,bundle,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.launching",1359173763593
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1359173763709
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1359173764465
